,case,Temp,Pressure,e11,e22,e33,e12,e23,e13,s11,s22,s33,s12,s23,s13
0,11.0,300.0,41.012954,0.0,0.0,0.0,0.0,0.0,0.0,-0.017653522119766982,0.021599066333411878,-0.016412457933533485,-0.00999669883812236,0.004177331456170516,-0.005640731389321845
1,11.0,300.49066,-77.78235699999999,0.0,0.0,1.0004420374132295e-05,0.0,0.0,0.0,-0.003241516867237807,0.020045928209129083,0.006839483467279463,-0.007279588445564442,0.0022775260221743177,-0.0027747966459261073
2,11.0,299.85697000000005,-14.268502999999999,0.0,0.0,2.000884074826459e-05,0.0,0.0,0.0,-0.017234428706155682,0.016321507591307384,0.005250189944978404,0.0025357028569293876,0.01059701942884439,0.012477340063417589
3,11.0,299.44106,114.44421000000001,0.0,0.0,3.0013261122396884e-05,0.0,0.0,0.0,0.0028545796548250773,0.003117871072109917,-0.04076063289501126,-0.001008279368586926,0.005261242578394215,0.0100986291637321
4,11.0,298.94099,194.98638,0.0,0.0,3.998477221900387e-05,0.0,0.0,0.0,-0.011321119361057489,-0.03349499133044827,-0.014454880018585588,0.019844979436046982,-0.007778024002956203,-0.003121714937689277
5,11.0,299.00757000000004,327.91112999999996,0.0,0.0,4.998919259335821e-05,0.0,0.0,0.0,-0.04080934185381846,-0.02888848786457177,-0.02997896687394367,0.012748307458159988,-0.002024814658458648,0.002234340998937288
6,11.0,299.73242,554.85581,0.0,0.0,5.9993612967490506e-05,0.0,0.0,0.0,-0.062288909523436735,-0.06823833414184924,-0.03813506782513817,0.013892998387632185,-0.0025482691846695875,-0.014916097278604186
7,11.0,299.98562999999996,478.00586,0.0,0.0,6.99980333416228e-05,0.0,0.0,0.0,-0.06597793224901494,-0.05113554384893525,-0.028188368522475374,0.005620302139480634,0.01949188913394968,0.011365259575163789
8,11.0,299.98,268.12461,0.0,0.0,8.00024537157551e-05,0.0,0.0,0.0,-0.03722814920388227,-0.016930766770436582,-0.02734426938091927,-0.0053207371792158755,0.007038354165731474,0.007843753131643162
9,11.0,300.12473,253.30521000000002,0.0,0.0,9.000687408966535e-05,0.0,0.0,0.0,0.01064662308748989,-0.031064255003053272,-0.05658082689334285,-0.002887233969772807,0.01109146723914259,0.011444496746233887
