,case,Temp,Pressure,e11,e22,e33,e12,e23,e13,s11,s22,s33,s12,s23,s13
0,0.0,300.0,-15.15538,0.0,0.0,0.0,0.0,0.0,0.0,-0.02041756706755698,-0.008226322526849822,0.03325074638059317,0.005122414243767926,0.011246325291675888,-0.012228097764069289
1,0.0,301.1281,-34.724599,-1.000967469733105e-05,0.0,0.0,0.0,0.0,-1.5276178857159817e-06,-0.005199447899845555,0.013153146469364487,0.0026017120479439873,0.0048465430225165555,0.012180007901073188,-0.00992268446469271
2,0.0,300.66407000000004,-83.551161,-1.9986314164999186e-05,0.0,0.0,0.0,0.0,-3.0501941282734535e-06,0.027186024033301677,-0.0028055381473350576,0.0010169807855431889,0.015904244107376685,-0.0019151381371594182,-0.007852456038077072
3,0.0,300.05497,219.21787999999998,-2.9995988862330236e-05,0.0,0.0,0.0,0.0,-4.577812013989435e-06,0.014834861978336883,-0.04006117013897966,-0.041410453488893564,-0.0015264245959963785,-0.007188675289617013,-0.001038798491996429
4,0.0,298.37973,398.85117,-4.000566355988333e-05,0.0,0.0,0.0,0.0,-6.105429899733172e-06,-0.02859768609912187,-0.028656229663399674,-0.06398687959051334,0.005328785931385225,-0.01254696047778859,0.005116474673006736
5,0.0,299.13793,412.87455,-5.001533825721438e-05,0.0,0.0,0.0,0.0,-7.633047785421399e-06,-0.05671333163542004,-0.04571593352231136,-0.023074287551504875,-0.0005482773196782585,-0.01068605878138189,0.030385751325340174
6,0.0,300.14697,320.76412,-5.9991977724771495e-05,0.0,0.0,0.0,0.0,-9.155624028006626e-06,-0.05406190436999454,-0.028597429746846575,-0.014844950909582587,-0.0009399745784107681,-0.01901884319226368,0.024189925560859776
7,0.0,300.29501,342.342,-7.000165242221357e-05,0.0,0.0,0.0,0.0,-1.0683241913694852e-05,-0.05814072339579264,-0.024456061779125376,-0.02146663353209178,-0.001877475022992358,-0.007583299118613353,0.02071215940163098
8,0.0,299.6972,381.41457,-8.001132711954462e-05,0.0,0.0,0.0,0.0,-1.2210859799410834e-05,-0.040392153350395164,-0.03264050130911667,-0.042907850698675164,-0.005866839871662015,0.013355321275067587,-0.012913369952450387
9,0.0,300.02532,320.51493,-8.998796658710173e-05,0.0,0.0,0.0,0.0,-1.3733436041968305e-05,-0.033631584536678964,-0.01930665080366808,-0.04449029910860066,0.002888464156719217,0.017536953775262584,0.007458711203542483
10,0.0,299.84812999999997,135.54506,-9.999764128443278e-05,0.0,0.0,0.0,0.0,-1.5261053927684287e-05,-0.01623781819929788,0.0012380883720148088,-0.026202582737993575,-0.007094053131678534,-0.0013741152727646186,0.006828405502611153
11,0.0,300.09837000000005,78.092378,-0.00011000731598198588,0.0,0.0,0.0,0.0,-1.6788671813428024e-05,-0.03180654682756177,0.007048943946501603,0.001019469935738849,0.0036158135820030164,-0.016694301554849283,0.012810433874791386
12,0.0,299.75786,238.71511,-0.00011998395544943197,0.0,0.0,0.0,0.0,-1.831124805595774e-05,-0.04961084258870895,-0.01035278663799049,-0.012599802483753688,0.00994145390954511,-0.005896959541484594,-0.0062200411246452645
13,0.0,298.89704,555.62005,-0.00012999363014698506,0.0,0.0,0.0,0.0,-1.9838865941701478e-05,-0.05369886293866515,-0.06588344161093944,-0.04931231681774675,0.003521126981358177,0.0015543429799767085,-0.004586880661789875
14,0.0,299.47652999999997,616.87729,-0.0001400033048443161,0.0,0.0,0.0,0.0,-2.1366483827389704e-05,-0.049499285779199154,-0.05945361688161514,-0.07856239007325422,-0.01148699144217779,-0.01011375972350037,0.002154289073461778
