,case,Temp,Pressure,f11,f12,f13,f21,f22,f23,f31,f32,f33,p11,p12,p13,p21,p22,p23,p31,p32,p33
0,10.0,300.0,115.35948,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.03680656319502496,-0.0012351634229511388,0.005576842221491475,-0.0012351634229511388,-0.009047801569198492,-0.017669497020843583,0.005576842221491475,-0.017669497020843583,0.01078796337043909
1,10.0,300.33392000000003,77.58665400000001,0.9999999999999999,0.0,0.0,0.0,1.0000099959874194,0.0,0.0,0.0,1.0,-0.0014581339555981595,-0.01051408288165919,0.005587314384010497,-0.0105141879802994,-0.018381286977591782,0.005674202765837117,0.005587314384010497,0.005674146047144614,-0.00374503655436672
2,10.0,300.36924,84.841564,0.9999999999999999,0.0,0.0,0.0,1.0000199919748387,0.0,0.0,0.0,1.0,-0.011682753897127689,-0.007039569052601374,0.007776258644400845,-0.007039709787488749,-0.008003072423041753,0.004237036303709319,0.007776258644400845,0.004236951598679566,-0.006104246637435688
3,10.0,300.18331,99.245632,0.9999999999999999,0.0,0.0,0.0,1.000029987962258,0.0,0.0,0.0,1.0,0.0320814693921436,0.005088629850983665,-0.008635946996912777,0.005088782448623582,-0.032704388754421866,0.029553876686365374,-0.008635946996912777,0.029552990452403075,-0.029545197939008727
4,10.0,298.22892,16.264335,0.9999999999999999,0.0,0.0,0.0,1.0000399839496774,0.0,0.0,0.0,1.0,0.004295799046915833,-0.005142476798397946,-0.0020489749500456926,-0.00514268241493147,0.00016960159129337387,-0.014158129130281432,-0.0020489749500456926,-0.014157563054992685,-0.009409556878619944
5,10.0,298.73998,301.09485,0.9999999999999999,0.0,0.0,0.0,1.0000500129271541,0.0,0.0,0.0,1.0,-0.03200768283460776,0.001970672449965228,-9.352681852195215e-05,0.001970771009062913,-0.03328164240264237,0.005031200580325249,-9.352681852195215e-05,0.005030948967841006,-0.026238902747652396
6,10.0,300.12388,382.0483,0.9999999999999999,0.0,0.0,0.0,1.0000600089145737,0.0,0.0,0.0,1.0,-0.07116595361898442,-0.0007441842717202693,-0.0007768324104102838,-0.000744228929410658,-0.029916382468267073,-0.007400060676822763,-0.0007768324104102838,-0.007399616633860303,-0.01505598114094221
7,10.0,300.15573,220.83119,0.9999999999999999,0.0,0.0,0.0,1.0000700049019928,0.0,0.0,0.0,1.0,-0.022432703419306834,0.010775031259412789,-0.011575802519558254,0.010775785564420074,-0.025543688489465775,0.009275055190016201,-0.011575802519558254,0.009274405936137601,-0.019153685730472013
8,10.0,299.72924,280.8457,0.9999999999999999,0.0,0.0,0.0,1.000080000889412,0.0,0.0,0.0,1.0,-0.02164788175031415,0.007273977269160664,-0.0068871328990600415,0.007274559193811759,-0.03725816673809476,-0.010426257541061518,-0.0068871328990600415,-0.01042542349790919,-0.02646787856365858
9,10.0,300.14757000000003,475.34193,0.9999999999999999,0.0,0.0,0.0,1.0000899968768313,0.0,0.0,0.0,1.0,-0.027427367926203667,0.0024668111720303077,0.0008058951475631252,0.002467033177331523,-0.03851718672935037,0.0005126372893846002,0.0008058951475631252,0.0005125911577813085,-0.07855705815895694
