,case,Temp,Pressure,f11,f12,f13,f21,f22,f23,f31,f32,f33,p11,p12,p13,p21,p22,p23,p31,p32,p33
0,0.0,300.0,-15.15538,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.02041756706755698,0.005122414243767926,-0.012228097764069289,0.005122414243767926,-0.008226322526849822,0.011246325291675888,-0.012228097764069289,0.011246325291675888,0.03325074638059317
1,0.0,301.1281,-34.724599,0.9999899903253027,0.0,-1.5276178857159817e-06,0.0,1.0,0.0,0.0,0.0,1.0,-0.005199463057915818,0.004846494510197493,-0.009922585141849094,0.0048465616289144735,0.013153014810647084,0.012179885983156287,-0.009922680490270851,0.012179885983156287,0.002601686005652731
2,0.0,300.66407000000004,-83.551161,0.999980013685835,0.0,-3.0501941282734535e-06,0.0,1.0,0.0,0.0,0.0,1.0,0.027186000081786375,0.0159039262401574,-0.007852299096423728,0.015904238265833585,-0.002805482074968243,-0.0019150998606069396,-0.00785245293608825,-0.0019150998606069396,0.0010169604598457092
3,0.0,300.05497,219.21787999999998,0.9999700040111377,0.0,-4.577812013989435e-06,0.0,1.0,0.0,0.0,0.0,1.0,0.014834857222912666,-0.0015263788093811978,-0.0010387673322084328,-0.001526457504400484,-0.04005996846456636,-0.007188459658193091,-0.001038988061267915,-0.007188459658193091,-0.04140921134139193
4,0.0,298.37973,398.85117,0.9999599943364401,0.0,-6.105429899733172e-06,0.0,1.0,0.0,0.0,0.0,1.0,-0.028597654860844417,0.005328572749768072,0.005116269985042355,0.0053287093267975726,-0.028655083251916864,-0.012546458528309016,0.005116084005598893,-0.012546458528309016,-0.0639843197529362
5,0.0,299.13793,412.87455,0.9999499846617428,0.0,-7.633047785421399e-06,0.0,1.0,0.0,0.0,0.0,1.0,-0.056713099699528174,-0.000548249897402656,0.030384231571709438,-0.0005483588868755746,-0.0457136470244325,-0.010685524314537303,0.03038557519820068,-0.010685524314537303,-0.02307313348320794
6,0.0,300.14697,320.76412,0.9999400080222752,0.0,-9.155624028006626e-06,0.0,1.0,0.0,0.0,0.0,1.0,-0.054061682896130836,-0.0009399181874767982,0.024188474359384364,-0.0009401487077884839,-0.028595714130478216,-0.01901770221424654,0.024189789646070534,-0.01901770221424654,-0.014844060331618295
7,0.0,300.29501,342.342,0.9999299983475778,0.0,-1.0683241913694852e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.0581405021227832,-0.001877343596638367,0.020710709516247632,-0.001877556037211346,-0.024454349814389098,-0.007582768275144237,0.020711930068391886,-0.007582768275144237,-0.02146513083227259
8,0.0,299.6972,381.41457,0.9999199886728805,0.0,-1.2210859799410834e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.040392311033745194,-0.005866370458017885,-0.012912336736582906,-0.005866676791706348,-0.03263788969928908,0.013354252698088261,-0.01291389389419956,0.013354252698088261,-0.04290441758459691
9,0.0,300.02532,320.51493,0.9999100120334129,0.0,-1.3733436041968305e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.0336314821029457,0.002888204229703194,0.007458040009287916,0.0028887049993522604,-0.01930491343742065,0.017535375660452216,0.007458100198865187,0.017535375660452216,-0.04448629551705102
